パワポ師直伝 資料デザインの魔法 素早く作り、正しく伝える	2,365円（本体 2,150円＋税10%）	2023/11/21	堀裕紀　著
プロのクリエイターが教える！　ゲーム開発で学ぶC言語入門	3,080円（本体 2,800円＋税10%）	2023/11/16	廣瀬豪　著
ChatGPT API×Pythonではじめる対話型AI実装入門（GPT-3.5&GPT-4 API対応）	2,750円（本体 2,500円＋税10%）	2023/10/24	古川渉一　著
推し色に染まる #推し活メイク	2,090円（本体 1,900円＋税10%）	2023/10/5	劇団雌猫　監修/paku☆chan　監修
イメージをカタチにするロゴデザイン 65のヒントで見つかる自分だけのアイデア	2,090円（本体 1,900円＋税10%）	2023/10/5	遠島啓介　著
徹底攻略 情報処理安全確保支援士教科書 令和6年度	3,168円（本体 2,880円＋税10%）	2023/10/2	株式会社わくわくスタディワールド 瀬戸美月　著/株式会社わくわくスタディワールド 齋藤健一　著
できるJw_cad 8 パーフェクトブック 困った！＆便利ワザ大全	2,750円（本体 2,500円＋税10%）	2023/9/27	櫻井良明　著/できるシリーズ編集部　著
インタプリタの作り方 －言語設計／開発の基本と2つの方式による実装－	5,940円（本体 5,400円＋税10%）	2023/9/26	Robert Nystrom　著/吉川邦夫　訳
よく分かるPower BI データを可視化して業務効率化を成功させる方法	2,420円（本体 2,200円＋税10%）	2023/9/26	鈴木ひであき　著
社会人10年目のビジネス学び直し 仕事効率化＆自動化のための Excelマクロ＆VBA虎の巻	1,980円（本体 1,800円＋税10%）	2023/9/26	国本 温子　著
できるPowerPointパーフェクトブック困った！＆便利ワザ大全 Office 2021/2019/2016&Microsoft 365対応	1,958円（本体 1,780円＋税10%）	2023/9/26	井上香緒里　著/できるシリーズ編集部　著
Pythonデータ分析 実践ハンドブック　実務で使えるデータ加工のテクニック	3,300円（本体 3,000円＋税10%）	2023/9/22	寺田 学　著/神沢 雄大　著/＠driller　著/辻 真吾　著
毎日さがせ！ ウォーリーCALENDAR 2024	1,320円（本体 1,200円＋税10%）	2023/9/22	マーティン　ハンドフォード　イラスト
日本を駆ける 新幹線カレンダー2024	1,430円（本体 1,300円＋税10%）	2023/9/22	「旅と鉄道」編集部　編
四季を駆ける 特急カレンダー2024	1,430円（本体 1,300円＋税10%）	2023/9/22	「旅と鉄道」編集部　編
3月まで使えるおしゃれなファミリーカレンダー 新学期便利シール付き	1,430円（本体 1,300円＋税10%）	2023/9/22	インプレスカレンダー編集部　編
FLOWER FAIRIES Calendar 2024	1,320円（本体 1,200円＋税10%）	2023/9/22	シシリー・メアリー・バーカー　イラスト
デジタルカメラマガジン責任編集 DRAMATIC CIRCUS F1カレンダー 2024	2,900円（本体 2,636円＋税10%）	2023/9/21	熱田 護　写真
ITパスポートを受験する人のための よくわかる擬似言語入門	1,870円（本体 1,700円＋税10%）	2023/9/21	ミューズの情報教室　著
いっぱい書けるカレンダー　ふわもふシマエナガといっしょCalendar+Memo 2024	990円（本体 900円＋税10%）	2023/9/21	インプレスカレンダー編集部　編
ましかくカレンダー　ふわもふことり2024	990円（本体 900円＋税10%）	2023/9/21	インプレスカレンダー編集部　編
まんまるかわいい雪の妖精　シマエナガちゃん CALENDAR 2024	1,100円（本体 1,000円＋税10%）	2023/9/21	小原玲　写真
すずめ暮らし	1,100円（本体 1,000円＋税10%）	2023/9/21	中野さとる　写真
すずめ暮らし mini	1,100円（本体 1,000円＋税10%）	2023/9/21	中野さとる　写真
浮世絵カレンダー2024	1,650円（本体 1,500円＋税10%）	2023/9/21	公益財団法人アダチ伝統木版画技術保存財団　監修
金子みすゞ CALENDAR 2024	1,320円（本体 1,200円＋税10%）	2023/9/21	金子みすゞ　著/金子みすゞ著作保存会　監修
Power Automateではじめる業務の完全自動化（できるエキスパート）	2,860円（本体 2,600円＋税10%）	2023/9/20	太田 浩史　著
ふわふわこわんこ	1,100円（本体 1,000円＋税10%）	2023/9/20	インプレスカレンダー編集部　編
もふもふこいぬ	935円（本体 850円＋税10%）	2023/9/20	森田米雄　写真
ふくふくしばいぬ	990円（本体 900円＋税10%）	2023/9/20	小川晃代（アニマルラグーン）　写真/湯沢祐介（アニマルラグーン）　写真
しばいぬ日和	1,100円（本体 1,000円＋税10%）	2023/9/20	森田米雄　写真
しばいぬ日和 mini	990円（本体 900円＋税10%）	2023/9/20	森田米雄　写真
